id_firm_rut,cat_year,amt_revenue_value,n_employees
10000391-0,2018,22611415.8,153
10000391-0,2019,16187864.73,38
10000391-0,2020,14477399.13,177
10000391-0,2021,13879549.07,81
10000391-0,2022,11123034.17,113
10002440-3,2018,13912268.49,113
10002440-3,2019,17989175.82,169
10002440-3,2020,17626132.37,189
10002440-3,2021,13383176.17,77
10002440-3,2022,14387194.18,137
10011441-0,2018,7043387.8,166
10011441-0,2019,12475183.21,161
10011441-0,2020,8755701.53,109
10011441-0,2021,6145975.39,177
10011441-0,2022,14396859,136
10016503-1,2018,11246978.08,190
10016503-1,2019,16464399.45,173
10016503-1,2020,17958310.04,71
10016503-1,2021,12996946.57,195
10016503-1,2022,16458702.45,174
10017753-6,2018,18056087.41,80
10017753-6,2019,11096327.91,48
10017753-6,2020,11340434.76,194
10017753-6,2021,15200491.72,16
10017753-6,2022,13378089.6,63
10020270-0,2018,18231669.75,56
10020270-0,2019,17668196.6,178
10020270-0,2020,12777320.65,39
10020270-0,2021,14341516.58,31
10020270-0,2022,12822726.28,29
10020303-0,2018,13845910.41,70
10020303-0,2019,13444466.45,174
10020303-0,2020,13398534.49,80
10020303-0,2021,21450154.7,75
10020303-0,2022,14376176.93,75
10021630-2,2018,21822675.83,156
10021630-2,2019,12882020.4,181
10021630-2,2020,7689197.24,50
10021630-2,2021,17120067.14,48
10021630-2,2022,12351880.91,58
10024743-7,2018,14895236.71,90
10024743-7,2019,16424509.49,51
10024743-7,2020,16860051.33,200
10024743-7,2021,17602033.5,62
10024743-7,2022,17137391.82,43
10030861-4,2018,14989046.77,162
10030861-4,2019,13988487.56,119
10030861-4,2020,14400627.4,138
10030861-4,2021,14240121.22,174
10030861-4,2022,23597917.01,120
10031696-K,2018,14297805.84,12
10031696-K,2019,19058383.79,193
10031696-K,2020,15692569.5,95
10031696-K,2021,16155613.67,55
10031696-K,2022,16964403.68,154
10033678-2,2018,16911033.13,38
10033678-2,2019,14222590.75,104
10033678-2,2020,13083868.21,55
10033678-2,2021,13366321.44,83
10033678-2,2022,11659464.49,70
10038102-8,2018,9628681.47,151
10038102-8,2019,15410590.38,170
10038102-8,2020,11838451.26,120
10038102-8,2021,8288528.13,183
10038102-8,2022,19524884.27,141
10044620-0,2018,19575317.6,195
10044620-0,2019,17175326.2,15
10044620-0,2020,16887077.06,114
10044620-0,2021,10913308.12,97
10044620-0,2022,22344107.51,151
10045058-5,2018,19807830.51,52
10045058-5,2019,17060062.63,27
10045058-5,2020,11650991.27,48
10045058-5,2021,12907032.04,104
10045058-5,2022,16828489.09,22
10055260-4,2018,17052336.86,47
10055260-4,2019,5747654.58,96
10055260-4,2020,16421495.72,31
10055260-4,2021,10983810.7,82
10055260-4,2022,14657196.17,32
10064570-K,2018,17720150.68,82
10064570-K,2019,10330652.04,160
10064570-K,2020,12444501.78,52
10064570-K,2021,17880644.14,41
10064570-K,2022,16196064.65,187
10064930-6,2018,21824877.58,194
10064930-6,2019,22857897.89,178
10064930-6,2020,14453011.72,61
10064930-6,2021,13552089.82,164
10064930-6,2022,10062478.4,31
10075499-1,2018,12142766.51,89
10075499-1,2019,14742817.41,199
10075499-1,2020,12205922.26,147
