tender,firm rut,buyer,select,offer send,value offer,offer open,offer close,dt_signature
1769-32-LE18,10000391-0,61607500-4,0,2018-04-16,0,2018-04-03,2018-04-29,2018-05-17
2198-42-L118,10000391-0,61607503-9,0,2018-05-28,5856.46167,2018-05-15,2018-06-10,2018-06-30
2086-29-L119,10002440-3,61606203-4,0,2019-03-13,1769.13626,2019-02-28,2019-03-26,2019-04-15
1057420-19-LE20,10011441-0,61607305-2,0,2020-08-24,0,2020-08-08,2020-09-03,2020-09-23
874750-71-LE18,10016503-1,61607903-4,0,2019-01-08,50178.9542066,2018-12-22,2019-01-17,2019-02-07
874750-1-LE19,10016503-1,61607903-4,0,2019-01-14,15869.413737,2019-01-01,2019-01-27,2019-02-15
874750-46-LE19,10016503-1,61607903-4,1,2019-12-14,6227.320539,2019-12-01,2019-12-27,2020-01-16
635-4-L118,10017753-6,61606000-7,0,2018-01-15,0,2018-01-01,2018-01-27,2018-02-15
1040758-3-LE19,10020270-0,61601000-K,0,2019-02-27,54955.53624,2019-02-14,2019-03-12,2019-03-28
2132-1-LE20,10020303-0,61601000-K,0,2020-01-31,1617.858954,2020-01-25,2020-02-20,2020-03-14
1057548-15-L120,10021630-2,61607503-9,0,2020-08-05,0,2020-07-22,2020-08-17,2020-09-04
2126-209-LE18,10024743-7,61606403-7,0,2019-01-09,23194.56,2018-12-28,2019-01-23,2019-02-11
873299-81-LQ18,10030861-4,61602054-4,1,2018-08-27,344056.575,2018-08-14,2018-09-09,2018-10-01
1057476-22-LE19,10031696-K,61608003-2,0,2019-09-01,46898.684887446,2019-08-20,2019-09-15,2019-10-08
2199-14-LQ19,10031696-K,61608403-8,0,2019-12-09,93808.68718764,2019-11-26,2019-12-22,2020-01-12
2207-279-L118,10033678-2,61602153-2,0,2018-09-12,2374.5966774,2018-09-02,2018-09-28,2018-10-22
1660-295-L118,10033678-2,61606408-8,0,2018-12-26,2937.57024,2018-12-12,2019-01-07,2019-01-25
5184-163-LE17,10038102-8,61606917-9,1,2018-07-28,1203.34913741,2018-07-15,2018-08-10,2018-08-30
1057546-2-L119,10044620-0,61607500-4,0,2019-09-06,6103.997,2019-08-27,2019-09-22,2019-10-13
2066-24-L118,10045058-5,61602240-7,0,2018-11-09,1797.21500828,2018-10-30,2018-11-25,2018-12-16
1383-5-L119,10045058-5,61602242-3,0,2019-03-19,2193.90661447,2019-03-04,2019-03-30,2019-04-20
1662-11-LE20,10055260-4,61602273-3,1,2020-04-15,8695.06264073,2020-04-02,2020-04-28,2020-05-23
4906-3-LE18,10064570-K,61980740-5,0,2018-01-24,1206.4241405,2018-01-09,2018-02-04,2018-03-02
2207-135-L118,10064930-6,61602153-2,1,2018-04-30,1591.799098218,2018-04-17,2018-05-13,2018-06-04
2207-135-L118,10064930-6,61602153-2,0,2018-04-30,1521.834616719,2018-04-17,2018-05-13,2018-06-04
2207-136-L118,10064930-6,61602153-2,1,2018-04-30,1444.874852673,2018-04-17,2018-05-13,2018-06-05
2207-136-L118,10064930-6,61602153-2,0,2018-04-30,1433.12058,2018-04-17,2018-05-13,2018-06-05
2207-139-L118,10064930-6,61602153-2,0,2018-04-30,1444.858201203,2018-04-17,2018-05-13,2018-05-27
2207-139-L118,10064930-6,61602153-2,1,2018-04-30,1433.12058,2018-04-17,2018-05-13,2018-05-27
1057531-19-LE20,10075499-1,61602262-8,0,2020-06-24,0,2020-06-16,2020-07-12,2020-07-31
1057531-1-LE21,10075499-1,61602262-8,0,2021-01-22,0,2021-01-12,2021-02-07,2021-02-27
1057531-10-LE21,10075499-1,61602262-8,0,2021-07-14,0,2021-07-01,2021-07-27,2021-08-19
608-232-LP18,10082693-3,61606602-1,1,2018-10-29,1215.79396188,2018-10-16,2018-11-11,2018-12-03
734-65-R118,10087024-K,61607800-3,1,2018-11-09,70960.192140408,2018-10-27,2018-11-22,2018-12-10
1057486-20-LP21,10096134-2,61608400-3,1,2021-09-16,97988.995776,2021-09-03,2021-09-29,2021-10-22
5602-9-L119,10104798-9,61601000-K,0,2019-02-12,4780.65505,2019-01-31,2019-02-26,2019-03-17
759035-3-LP20,10115802-0,61602280-6,0,2020-02-12,4082.428326,2020-02-01,2020-02-27,2020-03-19
1623-11-L118,10116314-8,61602142-7,0,2018-04-30,6112.18365,2018-04-17,2018-05-13,2018-06-03
2078-45-LE18,10116314-8,61601000-K,0,2018-05-30,2876.997,2018-05-16,2018-06-11,2018-07-01
2078-57-L118,10116314-8,61601000-K,0,2018-06-25,3636.5473,2018-06-12,2018-07-08,2018-07-26
2073-65-L118,10116314-8,61607200-5,0,2018-10-18,5262.993,2018-10-05,2018-10-31,2018-11-25
1398-77-L119,10116314-8,61606800-8,0,2019-07-17,3648.76632,2019-07-04,2019-07-30,2019-08-20
2125-142-L119,10116314-8,61606407-K,0,2019-10-29,2697.852,2019-10-13,2019-11-08,2019-11-30
1075337-58-L120,10121458-3,61602222-9,1,2020-10-13,0,2020-09-30,2020-10-26,2020-11-15
2207-289-L118,10122692-1,61602153-2,0,2018-09-27,2668.613,2018-09-14,2018-10-10,2018-10-31
2125-53-LE18,10125361-9,61606407-K,0,2018-05-25,27444.24281136,2018-05-12,2018-06-07,2018-06-25
1673-52-R118,10125361-9,61606401-0,0,2018-09-03,2710.3974984,2018-08-21,2018-09-16,2018-10-07
359-19-LE19,10140651-2,61608404-6,0,2019-03-20,0,2019-03-07,2019-04-02,2019-04-18
2151-6-L120,10145318-9,61602293-8,1,2020-02-17,1572.343521,2020-02-04,2020-03-01,2020-03-23
953261-12-L118,10165152-5,61980670-0,0,2018-02-18,3428.39026506,2018-02-02,2018-02-28,2018-03-20
1670-17-L118,10165152-5,61602262-8,0,2018-04-21,10225.01348265,2018-04-06,2018-05-02,2018-05-25
1057550-1-LE19,10165152-5,61607505-5,0,2019-03-13,36435.525402,2019-03-02,2019-03-28,2019-04-18
1057551-1-LE19,10165152-5,61607507-1,1,2019-04-07,1243.434083,2019-03-25,2019-04-20,2019-05-11
1661-9-LE21,10165152-5,61602268-7,0,2021-05-13,58280.332848,2021-04-29,2021-05-25,2021-06-11
2112-29-L119,10181995-7,61602223-7,0,2019-06-17,1203.6105825,2019-06-01,2019-06-27,2019-07-15
1057438-51-L120,10183129-9,61606401-0,1,2020-12-01,5394.6048,2020-11-18,2020-12-14,2020-12-28
2073-39-LE18,10192972-8,61607200-5,0,2018-06-11,14935.404,2018-05-29,2018-06-24,2018-07-15
635-189-L118,10192972-8,61606000-7,0,2018-10-02,5752.7003,2018-09-18,2018-10-14,2018-11-01
1556-26-L118,10196147-8,61606305-7,1,2018-07-03,4029.5388,2018-06-20,2018-07-16,2018-08-02
2153-31-LE19,10197404-9,61608503-4,1,2019-05-06,4121.7903,2019-04-23,2019-05-19,2019-06-06
2137-7-LE21,10199037-0,61602278-4,0,2021-02-22,0,2021-02-09,2021-03-07,2021-03-30
339-5-LE18,10200298-9,61606913-6,1,2018-07-02,12251.706963,2018-06-19,2018-07-15,2018-08-06
1057461-13-L119,10200298-9,61606913-6,0,2019-10-29,2948.1929976,2019-10-16,2019-11-11,2019-12-03
924-18-LE18,10200896-0,61601000-K,1,2018-04-29,3193.180959,2018-04-16,2018-05-12,2018-05-31
355-7-LQ20,10201676-9,61979270-K,1,2020-07-24,23467.584,2020-07-11,2020-08-06,2020-08-25
5463-14-LQ19,10203518-6,61602121-4,1,2019-11-12,,2019-10-30,2019-11-25,2019-12-16
1746-78-L118,10226720-6,61601000-K,1,2018-11-26,1642.7313,2018-11-13,2018-12-09,2018-12-29
1057535-4-LE21,10233146-K,61980070-2,1,2021-03-25,,2021-03-12,2021-04-07,2021-04-24
1057532-11-R121,10233146-K,61607600-0,0,2021-03-25,0,2021-03-18,2021-04-13,2021-04-28
5276-21-L118,10234401-4,61608203-5,0,2018-09-20,3137.100547,2018-09-01,2018-09-27,2018-10-18
902539-1-LE18,10242196-5,61607700-7,0,2018-02-06,2534.530971,2018-01-24,2018-02-19,2018-03-09
4585-1-LE18,10242196-5,61975100-0,1,2018-04-30,8892.97914,2018-04-17,2018-05-13,2018-06-07
1661-10-LE18,10242196-5,61602268-7,0,2018-06-20,6701.881,2018-06-08,2018-07-04,2018-07-24
4906-23-L118,10242196-5,61980740-5,0,2018-06-18,7142.03148,2018-06-05,2018-07-01,2018-07-24
2060-145-L118,10243807-8,61602222-9,1,2018-08-22,6076.1824,2018-08-09,2018-09-04,2018-09-22
2060-86-LE18,10244905-3,61602222-9,1,2018-05-22,,2018-05-09,2018-06-04,2018-06-24
2043-16-L118,10244905-3,61955100-1,1,2018-08-22,5681.784577032,2018-08-09,2018-09-04,2018-09-23
757-62-L118,10248964-0,61601000-K,0,2018-07-30,7035.8527771,2018-07-17,2018-08-12,2018-09-06
757-60-L119,10248964-0,61601000-K,0,2019-07-02,5981.39330844,2019-06-19,2019-07-15,2019-08-04
757-94-L121,10248964-0,61601000-K,1,2021-08-31,3733.373975,2021-08-18,2021-09-13,2021-10-01
1746-45-L121,10248964-0,61601000-K,1,2021-09-22,4071.26775,2021-09-09,2021-10-05,2021-10-23
759035-3-LP20,10250539-5,61602280-6,0,2020-02-14,0,2020-02-01,2020-02-27,2020-03-19
3950-28-LE19,10256039-6,61974600-7,0,2019-07-03,9864.872299188,2019-06-24,2019-07-20,2019-08-09
1057402-202-LE20,10264774-2,61607901-8,1,2020-10-01,4803.557556,2020-09-18,2020-10-14,2020-11-02
3949-34-L119,10266873-1,61974500-0,1,2019-11-18,4986.0732,2019-11-05,2019-12-01,2019-12-17
1657-46-LE18,10267578-9,61601000-K,0,2018-12-20,2637.2711808,2018-12-07,2019-01-02,2019-01-21
2102-63-LE19,10270119-4,61602212-1,1,2019-08-02,,2019-07-20,2019-08-15,2019-09-10
1626-48-L118,10276697-0,61602150-8,0,2018-04-25,2348.95143,2018-04-09,2018-05-05,2018-05-24
2069-98-LP19,10276697-0,61608101-2,1,2019-10-07,14172.508,2019-09-24,2019-10-20,2019-11-08
4346-17-L119,10276697-0,61606912-8,0,2019-12-09,3642.2679045,2019-11-26,2019-12-22,2020-01-17
2270-22-LE18,10285386-5,61601000-K,0,2018-05-28,5193.64857,2018-05-15,2018-06-10,2018-06-27
2270-26-LE18,10285386-5,61601000-K,1,2018-06-26,10542.193938,2018-06-13,2018-07-09,2018-07-25
162-15-LE19,10287662-8,61601000-K,0,2019-03-14,3266.86326,2019-02-17,2019-03-15,2019-04-02
1663-44-L120,10287662-8,61602276-8,1,2020-04-07,2659.819512,2020-03-25,2020-04-20,2020-05-13
924-102-LE18,10292801-6,61601000-K,0,2018-11-28,32079.57843927,2018-11-15,2018-12-11,2019-01-02
1950-71-LE19,10293846-1,61602238-5,0,2019-08-12,0,2019-07-30,2019-08-25,2019-09-13
1975-2-L118,10294518-2,61607006-1,0,2018-02-09,6690.9289368,2018-01-27,2018-02-22,2018-03-12
2150-15-LE18,10294518-2,61602199-0,0,2018-04-03,21500.09975,2018-03-22,2018-04-17,2018-05-12
2116-14-LE18,10294518-2,61602224-5,1,2018-04-19,1367.91342348,2018-04-06,2018-05-02,2018-05-22
1382-15-LE18,10294518-2,70744700-1,0,2018-04-16,1216.791342348,2018-03-30,2018-04-25,2018-05-19
1558-51-L118,10294518-2,61606306-5,0,2018-07-19,4291.3228048,2018-07-06,2018-08-01,2018-08-24
1544-43-LE18,10294518-2,61606204-2,0,2018-08-13,1362.625254461,2018-08-01,2018-08-27,2018-09-14
1557-48-L118,10294518-2,61606309-K,0,2018-10-31,4139.9817348,2018-10-25,2018-11-20,2018-12-06
635-32-LE19,10294518-2,61606000-7,0,2019-02-11,0,2019-02-06,2019-03-04,2019-03-28
2202-18-LE19,10294518-2,61602241-5,0,2019-03-04,1236.364218478,2019-02-20,2019-03-18,2019-04-05
2086-32-L119,10294518-2,61606203-4,0,2019-03-20,2911.686288312,2019-03-08,2019-04-03,2019-04-25
1509-31-L119,10294518-2,61608006-7,0,2019-04-29,6866.025651,2019-04-16,2019-05-12,2019-05-31
874750-21-L119,10294518-2,61607903-4,0,2019-06-24,1257.3360501,2019-06-12,2019-07-08,2019-07-25
635-124-L119,10294518-2,61606000-7,0,2019-06-27,7699.0485,2019-06-14,2019-07-10,2019-07-30
2086-90-L119,10294518-2,61606203-4,1,2019-07-23,1389.48787,2019-07-10,2019-08-05,2019-08-23
1057385-19-LE19,10294518-2,61606204-2,0,2019-08-07,1389.48787,2019-07-27,2019-08-22,2019-09-10
1057385-20-LE19,10294518-2,61606204-2,0,2019-08-12,6762.53374,2019-07-30,2019-08-25,2019-09-09
1057385-21-LE19,10294518-2,61606204-2,0,2019-08-12,2881.3704,2019-07-30,2019-08-25,2019-09-16
635-165-LE19,10294518-2,61606000-7,0,2019-08-14,0,2019-08-09,2019-09-04,2019-09-25
2147-23-LE19,10294518-2,61606406-1,0,2019-11-18,11244.684,2019-11-05,2019-12-01,2019-12-18
635-46-L120,10294518-2,61606000-7,0,2020-05-11,6310.6986,2020-04-28,2020-05-24,2020-06-15
1057384-45-LE20,10294518-2,61606203-4,0,2020-07-22,1228.453024,2020-07-07,2020-08-02,2020-08-23
1747-40-L120,10294518-2,61606205-0,0,2020-10-20,5635.1055,2020-10-07,2020-11-02,2020-11-21
1057384-26-LE21,10294518-2,61606203-4,1,2021-05-07,1242.38214,2021-04-24,2021-05-20,2021-06-07
2048-36-LE21,10294518-2,61975800-5,0,2021-08-26,1361.68698205,2021-08-13,2021-09-08,2021-09-27
2153-68-LE21,10294518-2,61608503-4,0,2021-08-10,6972.2445,2021-08-06,2021-09-01,2021-09-21
1660-78-LE21,10294518-2,61606408-8,0,2021-08-26,1366.75373,2021-08-13,2021-09-08,2021-10-02
2097-43-L119,10296700-3,61602209-1,1,2019-06-10,0,2019-05-28,2019-06-23,2019-07-13
1057404-43-LE21,10296700-3,61602209-1,1,2021-06-20,0,2021-06-07,2021-07-03,2021-07-18
162-39-LE20,10296862-K,61601000-K,0,2020-11-26,7754.07,2020-11-13,2020-12-09,2021-01-02
1057509-208-LE19,10298431-5,61607001-0,0,2019-10-08,10033.9383244,2019-09-26,2019-10-22,2019-11-15
1057509-248-LE19,10298431-5,61607001-0,0,2019-12-02,14007.90960384,2019-11-19,2019-12-15,2020-01-04
1979-31-R118,10302496-K,61607401-6,1,2018-03-07,1307.714815,2018-02-22,2018-03-20,2018-04-09
1979-153-LE19,10302496-K,61607401-6,1,2019-12-09,1469.14602,2019-11-26,2019-12-22,2020-01-17
3950-54-L119,10303582-1,61974600-7,0,2019-12-17,6371.403312,2019-12-04,2019-12-30,2020-01-16
2101-32-LE20,10311270-2,61602213-K,1,2020-03-24,8290.66777412,2020-03-11,2020-04-06,2020-04-19
