id_tender,amt_payment_value,dt_payment,id_payment
874750-46-LE19,1229.55,2020-04-09,1-84
874750-46-LE19,2255.75,2020-04-03,2-78
874750-46-LE19,2742.02,2020-03-17,3-61
873299-81-LQ18,100232.24,2018-10-31,4-30
873299-81-LQ18,243824.33,2018-11-26,5-56
5184-163-LE17,740.27,2018-09-07,6-8
5184-163-LE17,463.08,2018-10-26,7-57
1662-11-LE20,2256.56,2020-06-12,8-20
1662-11-LE20,1666.26,2020-08-23,9-92
1662-11-LE20,2485.29,2020-08-07,10-76
1662-11-LE20,2286.96,2020-07-06,11-44
2207-135-L118,273.26,2018-07-29,12-55
2207-135-L118,143.74,2018-07-02,13-28
2207-135-L118,1174.8,2018-08-04,14-61
2207-136-L118,412.86,2018-08-20,15-76
2207-136-L118,60.86,2018-08-05,16-61
2207-136-L118,178.38,2018-06-30,17-25
2207-136-L118,686.32,2018-06-23,18-18
2207-136-L118,106.45,2018-09-09,19-96
2207-139-L118,1433.12,2018-06-13,20-17
608-232-LP18,112.12,2019-02-04,21-63
608-232-LP18,136.65,2019-01-02,22-30
608-232-LP18,351.35,2019-01-23,23-51
608-232-LP18,267.72,2019-01-12,24-40
608-232-LP18,347.96,2019-01-14,25-42
734-65-R118,70960.19,2018-12-26,26-16
1057486-20-LP21,17900.9,2022-01-27,27-97
1057486-20-LP21,17323.81,2022-01-08,28-78
1057486-20-LP21,25323.72,2021-10-25,29-3
1057486-20-LP21,22633.11,2021-12-28,30-67
1057486-20-LP21,14807.46,2021-11-15,31-24
1075337-58-L120,0,2021-01-18,32-64
1075337-58-L120,0,2021-03-08,33-113
2151-6-L120,1572.34,2020-04-17,34-25
1057551-1-LE19,271.56,2019-07-18,35-68
1057551-1-LE19,9.32,2019-06-13,36-33
1057551-1-LE19,533.94,2019-06-21,37-41
1057551-1-LE19,428.62,2019-06-15,38-35
1057438-51-L120,455.65,2021-02-28,39-62
1057438-51-L120,2789.47,2021-03-02,40-64
1057438-51-L120,2149.48,2021-03-05,41-67
1556-26-L118,759.87,2018-08-29,42-27
1556-26-L118,224.38,2018-09-23,43-52
1556-26-L118,129.03,2018-10-27,44-86
1556-26-L118,1588.56,2018-09-09,45-38
1556-26-L118,1327.7,2018-09-17,46-46
2153-31-LE19,2183.9,2019-08-31,47-86
2153-31-LE19,729.7,2019-07-10,48-34
2153-31-LE19,1208.2,2019-07-21,49-45
339-5-LE18,917.93,2018-07-23,50--14
339-5-LE18,2514.24,2018-09-17,51-42
339-5-LE18,1344.5,2018-08-22,52-16
339-5-LE18,5650.26,2018-11-20,53-106
339-5-LE18,1824.77,2018-08-24,54-18
924-18-LE18,634.73,2018-09-02,55-94
924-18-LE18,2558.45,2018-07-19,56-49
355-7-LQ20,17618.74,2020-10-03,57-39
355-7-LQ20,2246.1,2020-10-14,58-50
355-7-LQ20,3369.24,2020-10-14,59-50
355-7-LQ20,233.51,2020-09-17,60-23
1746-78-L118,834.04,2019-01-25,61-27
1746-78-L118,84.2,2018-12-23,62--6
1746-78-L118,405.58,2019-03-10,63-71
1746-78-L118,145.39,2019-01-20,64-22
1746-78-L118,173.53,2019-02-17,65-50
4585-1-LE18,7591.49,2018-07-29,66-52
4585-1-LE18,1301.49,2018-07-16,67-39
2060-145-L118,6076.18,2018-11-09,68-48
2043-16-L118,145.65,2018-10-24,69-31
2043-16-L118,1779.67,2018-10-25,70-32
2043-16-L118,937.5,2018-11-03,71-41
2043-16-L118,2818.98,2018-10-15,72-22
757-94-L121,529.88,2021-10-29,73-28
757-94-L121,71.7,2021-11-20,74-50
757-94-L121,3131.79,2021-12-14,75-74
1746-45-L121,4071.27,2022-01-08,76-77
1057402-202-LE20,1487.04,2020-12-29,77-57
1057402-202-LE20,3316.51,2021-02-05,78-95
3949-34-L119,870.05,2020-03-11,79-85
3949-34-L119,2128.1,2020-02-01,80-46
3949-34-L119,406.36,2020-01-15,81-29
3949-34-L119,1581.57,2020-01-25,82-39
2069-98-LP19,1210.78,2019-11-07,83--1
2069-98-LP19,616.03,2019-11-07,84--1
2069-98-LP19,12345.7,2020-01-03,85-56
2270-26-LE18,2709.26,2018-08-12,86-18
2270-26-LE18,7832.93,2018-07-25,87-0
1663-44-L120,496.36,2020-05-27,88-14
1663-44-L120,613.16,2020-07-09,89-57
1663-44-L120,532.03,2020-07-11,90-59
1663-44-L120,997.04,2020-07-14,91-62
1663-44-L120,21.23,2020-07-09,92-57
2116-14-LE18,349.91,2018-09-02,93-103
2116-14-LE18,198.47,2018-07-16,94-55
2116-14-LE18,192.56,2018-07-26,95-65
2116-14-LE18,626.97,2018-08-03,96-73
2086-90-L119,779.4,2019-10-27,97-65
2086-90-L119,87.31,2019-08-21,98--2
2086-90-L119,416.68,2019-08-26,99-3
2086-90-L119,106.09,2019-11-15,100-84
1057384-26-LE21,1242.38,2021-08-04,101-58
2097-43-L119,0,2019-10-29,102-108
1057404-43-LE21,0,2021-08-13,103-26
